2014/02/14,CAR27,GAS,18.00,3.20
2014/02/16,CAR27,GAS,20.00,3.11
2014/02/14,CAR27,FARE,4.00
2014/02/14,CAR27,FARE,25.00
2014/02/15,CAR27,FARE,11.00
2014/02/15,CAR27,FARE,25.00
2014/02/16,CAR27,FARE,12.00
2014/02/17,CAR27,FARE,25.00
2014/02/17,CAR27,FARE,33.00
2014/02/18,CAR27,FARE,11.00
2014/02/18,CAR27,FARE,30.00
2014/02/15,CAR27,SERVICE,12.00
2014/02/19,CAR27,SERVICE,12.00
2014/02/19,CAR27,SERVICE,12.00
2014/02/14,CAR42,GAS,18.00,3.20
2014/02/16,CAR42,GAS,20.00,3.11
2014/02/20,CAR42,GAS,18.00,3.20
2014/02/14,CAR42,FARE,4.00
2014/02/14,CAR42,FARE,25.00
2014/02/15,CAR42,FARE,11.00
2014/02/15,CAR42,FARE,25.00
2014/02/16,CAR42,FARE,12.00
2014/02/17,CAR42,FARE,25.00
2014/02/17,CAR42,FARE,33.00
2014/02/18,CAR42,FARE,11.00
2014/02/18,CAR42,FARE,30.00
2014/02/18,CAR42,SERVICE,12.00
2014/02/19,CAR42,SERVICE,12.00
2014/02/16,CAR54,GAS,22.00,3.11
2014/02/14,CAR54,FARE,25.00
2014/02/15,CAR54,FARE,12.00
2014/02/15,CAR54,FARE,22.00
2014/02/15,CAR54,FARE,30.00
2014/02/16,CAR54,FARE,12.00
2014/02/17,CAR54,FARE,25.00
2014/02/17,CAR54,FARE,80.00
2014/02/18,CAR54,FARE,25.00
2014/02/18,CAR54,FARE,30.00
2014/02/15,CAR54,SERVICE,12.00
2014/02/19,CAR54,SERVICE,12.00
2015/08/01,CAR99,FARE,0.00
